,ubigeo,prop_es_jefe,prop_es_mujer,prop_en_pareja,prop_edu_superior,prop_edu_basica,prop_alfabetizacion_funcional,prop_lengua_materna_nativa,prop_tic_uso_internet,prop_tic_celular_propio,prop_salud_enfermedad_cronica,prop_tiene_limitacion,prop_tiene_seguro,media_edad
0,010101,0.3344823248472561,1.0,0.45627153709303464,0.42655869213826403,0.5222719778235606,0.9374969446890503,0.0,0.8387996278166383,0.9415288120582908,0.6792562398936862,0.1124731261149292,0.9808432857778215,47.066859580810466
1,010104,0.125,1.0,0.625,0.0,1.0,1.0,0.0,0.9143492161154286,0.7367730238444051,0.5,0.0,1.0,47.25
2,010106,0.2857142857142857,1.0,0.7142857142857143,0.0,1.0,1.0,0.0,,1.0,0.7142857142857143,0.14285714285714285,1.0,59.285714285714285
3,010109,0.22279386471796703,1.0,0.6025212974651806,0.12057055172261152,0.8212344149207707,0.7450018962970061,0.0,0.8137163210694411,0.7844405553411888,0.579752979630049,0.0,1.0,46.96964224288649
4,010110,0.3935287160094699,1.0,0.45731326811095707,0.3690728080984141,0.464479034292407,0.8280418627228245,0.0,0.8669482370937759,0.9812045833958699,0.8309109665158192,0.027975554424110004,1.0,52.438633077960624
5,010113,0.25,1.0,0.875,0.0,1.0,0.9229015053794629,0.0,0.735939245377738,0.6877377903967631,0.625,0.0,1.0,47.375
6,010114,0.5,1.0,0.41743056575496673,0.08543350001866955,0.9145664999813304,1.0,0.0,0.8006019847504352,0.9246949500603971,0.8348611315099335,0.16666666666666666,1.0,61.33180553515673
7,010115,0.3333333333333333,1.0,0.5555555555555556,0.11352300141033116,0.8381223740365313,0.9516453754468625,0.0,0.5822242468261494,0.9516453754468625,0.6666666666666666,0.3333333333333333,1.0,52.888888888888886
8,010117,0.2857142857142857,1.0,0.7142857142857143,0.0,0.8823053143757252,0.8823053143757252,0.0,1.0,0.8210660095754498,1.0,0.2857142857142857,1.0,56.0
9,010120,0.0,1.0,0.7777777777777778,0.22934613274478483,0.6927420784276704,0.9220882111724552,0.0,0.8895981577989084,0.8008403738367593,0.6666666666666666,0.2222222222222222,1.0,51.888888888888886
10,010201,0.33866059014158106,1.0,0.4480038986247647,0.30986091739441657,0.6528516771163745,0.956206672087226,0.09520381714947321,0.5398454697466593,0.8913789287901547,0.7029911594172722,0.17281989494527164,0.9659479727840122,44.05608733718286
11,010202,0.23035925359253254,1.0,0.6497326810844531,0.2879306173280691,0.7120693826719309,0.8966957841074293,0.15799265144165522,0.1020139715776311,0.7733988569348098,0.5920768582298928,0.038081085903520204,1.0,43.587666281121756
12,010203,0.3333333333333333,1.0,0.5,0.12500478999353043,0.7597888307787951,0.8847936207723256,0.0,0.42369248366764223,1.0,0.5833333333333334,0.08333333333333333,1.0,46.25
13,010205,0.1819054591950437,1.0,0.6972379985678093,0.2642080363779327,0.6524350972752233,0.7803768792010947,0.538010154844304,0.6705828830423033,0.5073937714609487,0.5581613682781613,0.09515192439270738,0.967151747002362,41.901769770235354
