ubigeo,viv_tipo,viv_paredes,viv_pisos,viv_techos,viv_hab_total,viv_hab_dormir,tic_celular,tic_internet,agua_todos_dias,serv_electricidad,nbi_vivienda,nbi_hacinamiento,nbi_sshh,nbi_educacion,nbi_dependencia,es_jefe,es_mujer,edad,en_pareja,trabajo_ingresos,edu_superior,edu_basica,tic_uso_internet,tic_celular_propio,salud_enfermedad_cronica,lim_discapacidad_motriz,lim_discapacidad_visual,lim_discapacidad_habla,lim_discapacidad_auditiva,lim_discapacidad_comprension,lim_discapacidad_relacion,seg_essalud,seg_privado,seg_sis
010101,0.9143520910183371,0.4961895032616972,0.8371610432050428,0.3883026338282221,3.717235784992343,2.3275747860261746,0.9674216766478355,0.9577790117064836,0.6975315517196807,0.9794849463289189,0.03489056844882014,0.017415498636060227,0.026735031865721667,0.0,0.0,0.33700225316561,0.5447628388782982,38.01170592350614,0.4010587117832055,0.04368306752851597,0.3035179662260544,0.6420997493834266,0.8177573976217767,0.7496907006029045,0.5331639583226945,0.04082207317822129,0.02236349809606537,0.0075862690019583975,0.02431984440243376,0.028372198573717467,0.01137331301959483,0.18894264625988424,0.0015296524244151886,0.7674133324108361
010110,1.0,0.0853595307678794,0.3423542376710952,0.13668678685273725,3.518379171114094,1.9026043059815125,0.9884834616011944,0.9884834616011944,1.0,0.8042188472203043,0.1957811527796956,0.0,0.0,0.0,0.0,0.4256833677991646,0.5339673427592095,44.76140755048949,0.4177446603086999,0.26679455973759064,0.1707190615357588,0.6921383899475426,0.8208478162541902,0.7936887409766082,0.7152678811904252,0.07288210835189166,0.034549615196416875,0.0,0.035810574516102846,0.05419630378274533,0.0,0.18223559993456442,0.0,0.8005309975130334
010201,0.9322608992011491,0.42940798958648735,0.7354188323140948,0.13475390719686203,2.573203985702109,1.5997083407739017,0.9565645262705403,0.9469337820563034,0.5433494995531979,0.9864426548980669,0.07414274072288678,0.10105915580907718,0.08147402490167084,0.0,0.0,0.3663555436518005,0.5120644652251402,37.61549530478414,0.3959124671273753,0.15004915611608394,0.23348234396337733,0.7461896641196899,0.5426209298687564,0.7815095973761537,0.5616756094998164,0.03802443895921179,0.04762198490740525,0.0149164727594775,0.04454959765347104,0.03697330632094417,0.0019261488428473788,0.20376021794346144,0.0,0.7663984262417817
010202,1.0,0.43481482666684373,0.5372680781224558,0.005030631692445484,3.7330595995537625,2.082250660961477,0.9467894546190375,0.9467894546190375,0.9534849246951101,0.8497553382343195,0.19255141971364656,0.18529548578879276,0.020703372461083468,0.0,0.0,0.27360970695414577,0.5132790491266367,31.533602261402397,0.3532372404166743,0.5095554177579765,0.13740599494592654,0.7940872881223033,0.4241521644077962,0.5981679640503825,0.40681736680960745,0.06289523954802308,0.026416988081566055,0.0,0.026416988081566055,0.026416988081566055,0.005321054538096249,0.03088114632713341,0.0,0.9545934320424083
010205,0.944285861987931,0.19526261387207883,0.2511340010198285,0.028272645550969203,2.122397204505062,1.089282734608,0.8212027043462233,0.7929300587952541,0.8497538488662469,0.43454126201737076,0.6486040932944521,0.3281400091208466,0.2679599892620396,0.010344792122679919,0.016828759216580422,0.32130260910094793,0.4811689499407834,30.06787732985676,0.46940176095609387,0.24089552227955602,0.11894596055882978,0.7798574436190637,0.5807675098275501,0.42967486975719754,0.3454775341694989,0.030959598898523257,0.008542246855421206,0.00497506922542278,0.010931118050174006,0.011128444886091186,0.0,0.022935688267944402,0.0,0.9039774317530912
010306,1.0,0.5116169422171438,0.6375351990514978,0.2998677904048129,4.245938930487827,2.7488877220782673,1.0,1.0,1.0,0.9685807887703262,0.20536874480013276,0.0,0.0,0.0,0.0,0.34380640374322463,0.5157096056148369,33.22859129006592,0.4066448262025724,0.3383388918304104,0.10906477941226454,0.8406162002371256,0.7118709553883831,0.7812459650414629,0.42963729872120154,0.041892281639565175,0.020946140819782588,0.0,0.041892281639565175,0.020946140819782588,0.0,0.0,0.0,0.8993619592987802
010401,0.9210029946096935,0.20819636006069178,0.40809428338531845,0.0,2.852671441615019,1.6306940166342923,0.844808004656444,0.844808004656444,0.6234106948979294,0.5579980510618815,0.5232037832806429,0.17610391094717218,0.07532468300143283,0.0,0.0,0.29344927998106474,0.4948247605416765,28.503176287712357,0.40947785910778917,0.40945330516135725,0.13983318371785888,0.8183263588803203,0.47822906274587096,0.4843357665064672,0.30786332121839416,0.02294643981435489,0.0,0.0,0.0,0.0,0.0,0.07014108259248182,0.0,0.8374859377302384
010403,0.8350658090414805,0.052264506952656054,0.02903583719592003,0.0,2.023024956748981,1.224587158668094,0.5696030816195918,0.5696030816195918,0.8075314732240615,0.10452901390531211,0.3801916847047964,0.45707967837491115,0.29053617833589757,0.0,0.0,0.2429915740510532,0.5193361598667733,24.96876352269388,0.3933807896195171,0.500540455474886,0.06747057572098641,0.8292482495669317,0.7395393418783045,0.18924979585069257,0.2709977746084511,0.005807167439184006,0.011757798097201486,0.016978415607707686,0.0,0.017421502317552018,0.0,0.07819873717966576,0.0,0.8752625023705594
010521,1.0,0.1725347975719251,0.25861251367757265,0.5865045021363563,3.481542035222807,1.8966498358691284,0.9481826559243279,0.9481826559243279,0.947271912778322,1.0,0.3281765124792562,0.0,0.017272448025224013,0.0,0.0,0.37932996717382567,0.5344974753803693,51.28101771818786,0.6554046115569373,0.2859385801521654,0.06908979210089605,0.8792825465037469,0.5195951581812615,0.7141453787815131,0.6207648741663319,0.10335016413087154,0.08626739878596255,0.0,0.034544896050448026,0.05181734407567203,0.0,0.08617255744580504,0.0,0.8965549945289709
010601,0.9826728786237248,0.4948557437741674,0.853867054274342,0.3005957786698984,3.1879199805259417,2.053733298882845,1.0,1.0,1.0,1.0,0.03465424275255038,0.07873472894838397,0.0,0.0,0.0,0.3539703070720527,0.49683385913895284,37.70398153847033,0.4356971117622692,0.16994085428235317,0.23227093828423856,0.7160755792934161,0.8011257084225781,0.8043406443584202,0.4172230703717381,0.07133716465944125,0.025498859504692307,0.0,0.034326361046070064,0.034326361046070064,0.0,0.12715559069107768,0.0,0.8430419472364762
