anio,ubigeo,departamento,provincia,distrito,amenaza_grave,coaccion_grave,maltrato_sin_lesion,violencia_economica_o_patrimonial,violencia_fisica,violencia_fisica_y_psicologica,violencia_psicologica,violencia_sexual,total,prop_viv_tipo,prop_tic_celular,prop_tic_internet,prop_agua_todos_dias,prop_serv_electricidad,prop_nbi_vivienda,prop_nbi_hacinamiento,prop_nbi_sshh,prop_nbi_educacion,prop_nbi_dependencia,prop_es_jefe,prop_es_mujer,prop_en_pareja,prop_edu_superior,prop_edu_basica,prop_alfabetizacion_funcional,prop_lengua_materna_nativa,prop_tic_uso_internet,prop_tic_celular_propio,prop_salud_enfermedad_cronica,prop_tiene_limitacion,prop_tiene_seguro,media_edad,población,TVM,indice_vulnerabilidad
2025,150101,LIMA,LIMA,LIMA,19,3,0,365,2213,0,4340,78,7018,0.5562496250041937,0.9761311625292042,0.9169725545628384,1.0,1.0,0.0,0.0333325312021875,0.0,0.016935808329135,0.0130905536511094,0.3146081117225999,1.0,0.4473245561624347,0.5159543507552932,0.4511591014139969,0.979752484871406,0.0358918026960077,0.8148209252008062,0.9115874299160932,0.6790154969751638,0.1069496145250394,0.9187193758501342,50.65539333638784,265503.0,26.432846333186443,0.018298292327449183
2025,150102,LIMA,LIMA,ANCON,0,0,0,36,235,0,310,6,587,0.5921480044915244,1.0,0.970711667060454,1.0,1.0,0.0809303636823937,0.0292883329395458,0.0,0.0,0.0,0.4219555240917056,1.0,0.4486264658258689,0.3936680471372427,0.6063319528627573,0.9680526842380034,0.2364643014165135,0.9148612372824152,0.9412297761176804,0.6039664385301705,0.0915536459595204,0.9725293726707376,45.390922878651615,104552.0,5.614431096487872,0.01743837869518569
2025,150103,LIMA,LIMA,ATE,0,0,0,292,2464,0,4466,9,7231,0.749153791437082,0.9725688746176792,0.9169817448514834,0.985018453991104,0.9929220673655552,0.0259819944395231,0.0385293783612383,0.0095244946640845,0.0,0.0,0.2928078452254838,1.0,0.4085953737835354,0.4262928349534545,0.5416206024892606,0.9592113266833122,0.1237331339134623,0.7579505332466806,0.9253206487031982,0.5436188354389068,0.0518547345543239,0.916594967917796,45.7144079681851,743517.0,9.725399688238467,0.02238920015708791
2025,150104,LIMA,LIMA,BARRANCO,3,0,0,6,135,0,351,0,495,0.360608784009287,1.0,0.638373066890972,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2455270054348637,1.0,0.4187248446508775,0.3658400145545229,0.634159985445477,1.0,0.0,0.1869146088341606,1.0,0.5885196050918986,0.0313541718157261,1.0,47.98809510313404,37214.0,13.301445692481325,0.045203366638628506
2025,150105,LIMA,LIMA,BREÑA,1,0,0,113,344,0,719,8,1185,0.5491462753458088,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3100820923190243,1.0,0.2687328771783439,0.7156431291431695,0.2843568708568305,1.0,0.0102967843401954,0.9369799232775394,0.94757248830426,0.6301907819084356,0.0324024606499289,0.8380496753323244,46.81419257637903,97746.0,12.123258240746424,0.0
2025,150106,LIMA,LIMA,CARABAYLLO,80,0,0,257,1455,0,2610,28,4430,0.7860791013597626,1.0,0.8694153905082055,0.8925367721504306,1.0,0.0759795235026578,0.0138386003551334,0.0322480579910822,0.0090723764401314,0.0,0.2628303132570794,1.0,0.4136902826224586,0.4015057084591364,0.5905084456062039,0.9840233423648844,0.1105786175045226,0.9005785979708949,0.919284291808944,0.5441791118692278,0.0857926675268786,0.9206950341544328,44.17771588311712,458341.0,9.665292871464697,0.04614829945379609
2025,150107,LIMA,LIMA,CHACLACAYO,1,0,0,4,129,0,311,4,449,0.8659200016820658,1.0,1.0,1.0,1.0,0.0565889524027903,0.0,0.0,0.0,0.0,0.2798630685177062,1.0,0.5059693233843856,0.6285265465510401,0.3714734534489598,1.0,0.1150044005975292,0.7864433059122367,0.9330138964039426,0.6352956631210323,0.1261720683361801,0.976342737732073,51.9067573940971,46394.0,9.677975600293141,0.007073619050348787
2025,150108,LIMA,LIMA,CHORRILLOS,8,0,0,19,1134,0,2118,5,3284,0.7722579312670533,0.9774131696257428,0.9243501659394662,0.9822549564750545,1.0,0.0,0.0169128477476459,0.0047931078948383,0.0,0.0,0.262000342968494,1.0,0.4877610053739352,0.419787650425565,0.5498350550271555,0.9905668262458924,0.051703166977937,0.5689029019603942,0.934856806826426,0.5841986232545966,0.0320369361252388,0.9239356035422056,47.73815662024334,380313.0,8.634992755966795,0.014387604153495447
2025,150109,LIMA,LIMA,CIENEGUILLA,0,0,0,16,104,0,209,7,336,0.6738109228023844,1.0,0.8381925396377196,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.239569128704601,1.0,0.2203242037485778,0.1627012754835889,0.7969896352391138,0.9596909107227029,0.2432345840100836,0.9655504425720104,0.8657257968551761,0.606255108050789,0.1315694315548792,0.9612741968255832,41.33483247458123,41816.0,8.035201836617562,0.020225932545285055
2025,150110,LIMA,LIMA,COMAS,31,0,0,553,2254,0,4903,83,7824,0.7111982966748991,0.968142610629498,0.8721383145655472,0.992431418241765,0.9930102756779569,0.0387416232023038,0.0393740307061728,0.010791231120403,0.0,0.0,0.3394494251100976,1.0,0.3506999070110322,0.4894822658250414,0.4879710784964706,0.9746960737060958,0.0732083698566188,0.8606993857641283,0.9283426111867468,0.5884139496853216,0.0825171225135133,0.898954893157685,45.7889711159719,600307.0,13.033331278828998,0.02891585956795132
